ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605499.SH,20260303,237.3,242.3,234.3,234.98,237.29,-2.31,-0.9735,29261.02,696311.037
605499.SH,20260304,233.95,234.93,229.1,230.4,234.98,-4.58,-1.9491,23239.63,537288.162
605499.SH,20260305,232.1,237.2,232.1,234.31,230.4,3.91,1.697,18530.4,435001.14
605499.SH,20260306,234.0,235.97,231.58,235.0,234.31,0.69,0.2945,13893.75,325298.358
605499.SH,20260309,233.5,237.05,230.7,235.84,235.0,0.84,0.3574,23996.17,561794.522
605499.SH,20260310,235.66,241.99,233.57,239.08,235.84,3.24,1.3738,26553.76,631966.54
605499.SH,20260311,240.0,240.0,236.53,237.53,239.08,-1.55,-0.6483,15380.88,365515.011
605499.SH,20260312,237.3,237.3,226.62,226.62,237.53,-10.91,-4.5931,36828.84,844896.255
605499.SH,20260313,225.5,228.51,223.51,227.2,226.62,0.58,0.2559,34264.65,778036.912
605499.SH,20260316,226.8,240.0,226.01,238.95,227.2,11.75,5.1717,33429.86,785058.046
605499.SH,20260317,238.95,243.75,237.11,237.5,238.95,-1.45,-0.6068,22655.79,545436.362
605499.SH,20260318,237.5,239.85,233.14,234.3,237.5,-3.2,-1.3474,11821.41,277716.185
605499.SH,20260319,232.56,233.94,229.53,229.95,234.3,-4.35,-1.8566,10543.62,243812.202
605499.SH,20260320,229.96,232.49,228.09,228.09,229.95,-1.86,-0.8089,16288.71,374474.263
605499.SH,20260323,225.08,225.8,217.6,219.46,228.09,-8.63,-3.7836,18620.38,410993.809
605499.SH,20260324,222.02,225.2,219.6,224.5,219.46,5.04,2.2965,21210.92,474207.634
605499.SH,20260325,225.99,230.0,224.28,228.9,224.5,4.4,1.9599,12858.9,292678.744
605499.SH,20260326,228.99,230.24,218.18,218.75,228.9,-10.15,-4.4343,18811.05,419195.742
605499.SH,20260327,218.6,226.34,216.1,225.0,218.75,6.25,2.8571,24168.98,538814.877
605499.SH,20260330,228.0,229.49,223.22,227.99,225.0,2.99,1.3289,20795.67,472187.1
605499.SH,20260331,221.16,222.44,205.22,205.27,227.99,-22.72,-9.9653,104516.43,2186362.683
605499.SH,20260401,207.91,213.37,203.68,210.4,205.27,5.13,2.4991,48015.41,999993.865
605499.SH,20260402,212.11,217.27,206.38,206.88,210.4,-3.52,-1.673,48403.32,1021492.158
605499.SH,20260403,206.88,207.88,201.5,202.27,206.88,-4.61,-2.2283,26386.32,535869.065
605499.SH,20260407,202.18,202.2,197.48,198.04,202.27,-4.23,-2.0913,26064.94,519137.398
605499.SH,20260408,203.0,208.77,199.74,206.33,198.04,8.29,4.186,51997.18,1067683.273
605499.SH,20260409,204.94,205.72,200.87,201.61,206.33,-4.72,-2.2876,30737.13,622105.158
605499.SH,20260410,201.64,203.3,199.01,200.12,201.61,-1.49,-0.7391,36368.76,729989.605
605499.SH,20260413,197.4,198.05,193.3,193.95,200.12,-6.17,-3.0832,42423.57,825960.107
605499.SH,20260414,195.65,195.67,188.01,191.23,193.95,-2.72,-1.4024,69401.34,1322352.908
605499.SH,20260415,191.37,195.57,190.0,193.5,191.23,2.27,1.1871,57509.01,1113937.878
605499.SH,20260416,193.03,195.22,192.25,194.26,193.5,0.76,0.3928,42819.98,830929.289
605499.SH,20260417,194.0,201.31,192.33,199.8,194.26,5.54,2.8518,61558.34,1222154.884
605499.SH,20260420,199.9,205.74,198.3,203.71,199.8,3.91,1.957,41495.85,842110.172
605499.SH,20260421,203.31,204.63,200.71,201.33,203.71,-2.38,-1.1683,28596.24,577162.325
605499.SH,20260422,200.97,203.88,199.49,201.4,201.33,0.07,0.0348,25797.83,518585.882
605499.SH,20260423,201.0,208.1,201.0,204.18,201.4,2.78,1.3803,34947.77,716453.819
605499.SH,20260424,203.0,203.8,199.87,199.96,204.18,-4.22,-2.0668,31296.28,629941.295
605499.SH,20260427,199.5,201.02,196.16,197.75,199.96,-2.21,-1.1052,28622.27,566778.872
605499.SH,20260428,197.88,198.77,196.3,196.58,197.75,-1.17,-0.5917,22211.61,438342.008
605499.SH,20260429,195.9,211.18,195.89,208.33,196.58,11.75,5.9772,61918.42,1279810.811
605499.SH,20260430,204.9,208.0,195.0,203.84,208.33,-4.49,-2.1552,96557.81,1943549.243
605499.SH,20260506,203.0,203.0,197.19,200.65,203.84,-3.19,-1.565,67428.48,1344095.085
605499.SH,20260507,200.2,206.18,200.2,201.45,200.65,0.8,0.3987,42441.99,860643.124
605499.SH,20260508,201.45,203.4,199.88,199.98,201.45,-1.47,-0.7297,29550.65,592606.942
605499.SH,20260511,200.0,200.01,195.25,197.75,199.98,-2.23,-1.1151,44078.06,865281.603
605499.SH,20260512,198.0,198.8,193.79,194.72,197.75,-3.03,-1.5322,32091.28,626081.113
605499.SH,20260513,194.66,196.66,190.89,192.83,194.72,-1.89,-0.9706,41005.15,789304.289
605499.SH,20260514,193.59,197.77,191.0,193.5,192.83,0.67,0.3475,61389.32,1193649.057
605499.SH,20260515,192.6,192.6,185.0,186.09,193.5,-7.41,-3.8295,65307.4,1223440.149
605499.SH,20260518,141.94,142.36,138.59,142.2,141.22,0.98,0.694,59483.37,835729.522
605499.SH,20260519,142.0,152.5,141.46,145.61,142.2,3.41,2.398,115750.01,1711643.02
605499.SH,20260520,145.76,153.0,145.76,149.0,145.61,3.39,2.3281,100491.75,1506321.425
605499.SH,20260521,149.03,153.97,147.19,147.23,149.0,-1.77,-1.1879,70723.25,1065122.497
605499.SH,20260522,147.6,150.58,143.76,144.58,147.23,-2.65,-1.7999,69328.02,1016049.539
605499.SH,20260525,144.0,148.9,142.0,145.04,144.58,0.46,0.3182,62491.35,910848.275
